Assembly	Length
HiFiASM	25821138
HiFiASM	24627096
HiFiASM	23014838
HiFiASM	21715751
HiFiASM	18349355
HiFiASM	7593870
HiFiASM	2420129
HiFiASM	2179152
HiFiASM	2142100
HiFiASM	2017275
HiFiASM	1911336
HiFiASM	1812074
HiFiASM	1357808
HiFiASM	1297818
HiFiASM	1204153
HiFiASM	1192196
HiFiASM	1028380
HiFiASM	886052
HiFiASM	816551
HiFiASM	799643
HiFiASM	793974
HiFiASM	749300
HiFiASM	748487
HiFiASM	658670
HiFiASM	597064
HiFiASM	541660
HiFiASM	522054
HiFiASM	518745
HiFiASM	508692
HiFiASM	505115
HiFiASM	441753
HiFiASM	385577
HiFiASM	356006
HiFiASM	347906
HiFiASM	334027
HiFiASM	291050
HiFiASM	259429
HiFiASM	252970
HiFiASM	251516
HiFiASM	242986
HiFiASM	205730
HiFiASM	192582
HiFiASM	188261
HiFiASM	174237
HiFiASM	173535
HiFiASM	166948
HiFiASM	166598
HiFiASM	164293
HiFiASM	159250
HiFiASM	152688
HiFiASM	149226
HiFiASM	148839
HiFiASM	148324
HiFiASM	140664
HiFiASM	140386
HiFiASM	130705
HiFiASM	119807
HiFiASM	118897
HiFiASM	116942
HiFiASM	114051
HiFiASM	108408
HiFiASM	101449
HiFiASM	95926
HiFiASM	92253
HiFiASM	89278
HiFiASM	89204
HiFiASM	86734
HiFiASM	85545
HiFiASM	85004
HiFiASM	84209
HiFiASM	82718
HiFiASM	81496
HiFiASM	80748
HiFiASM	78557
HiFiASM	73339
HiFiASM	73199
HiFiASM	72549
HiFiASM	72240
HiFiASM	70963
HiFiASM	69837
HiFiASM	68868
HiFiASM	67858
HiFiASM	66145
HiFiASM	65797
HiFiASM	64658
HiFiASM	63981
HiFiASM	62085
HiFiASM	60482
HiFiASM	59759
HiFiASM	59545
HiFiASM	58474
HiFiASM	56770
HiFiASM	56599
HiFiASM	55486
HiFiASM	55011
HiFiASM	54604
HiFiASM	54355
HiFiASM	54273
HiFiASM	53152
HiFiASM	51298
HiFiASM	50233
HiFiASM	47527
HiFiASM	47358
HiFiASM	46559
HiFiASM	46516
HiFiASM	46370
HiFiASM	45899
HiFiASM	45072
HiFiASM	44964
HiFiASM	41089
HiFiASM	39082
HiFiASM	38931
HiFiASM	38777
HiFiASM	38477
HiFiASM	38403
HiFiASM	37441
HiFiASM	37357
HiFiASM	37335
HiFiASM	37106
HiFiASM	36957
HiFiASM	36757
HiFiASM	36719
HiFiASM	36705
HiFiASM	36137
HiFiASM	36095
HiFiASM	35782
HiFiASM	34463
HiFiASM	34190
HiFiASM	34055
HiFiASM	33344
HiFiASM	32962
HiFiASM	32659
HiFiASM	31794
HiFiASM	31399
HiFiASM	31258
HiFiASM	30485
HiFiASM	29401
HiFiASM	29256
HiFiASM	28878
HiFiASM	28664
HiFiASM	26733
HiFiASM	25676
HiFiASM	25628
HiFiASM	25496
HiFiASM	24909
HiFiASM	23340
HiFiASM	23334
HiFiASM	21701
Ref_Scaff	32079331
Ref_Scaff	28110227
Ref_Scaff	25286936
Ref_Scaff	23542271
Ref_Scaff	23513712
Ref_Scaff	3667352
Ref_Scaff	1348131
Ref_Scaff	88768
Ref_Scaff	87365
Ref_Scaff	86267
Ref_Scaff	76973
Ref_Scaff	76224
Ref_Scaff	73091
Ref_Scaff	66731
Ref_Scaff	66439
Ref_Scaff	62570
Ref_Scaff	57785
Ref_Scaff	50625
Ref_Scaff	47411
Ref_Scaff	46986
Ref_Scaff	45120
Ref_Scaff	44411
Ref_Scaff	44104
Ref_Scaff	43383
Ref_Scaff	39041
Ref_Scaff	37106
Ref_Scaff	36913
Ref_Scaff	36482
Ref_Scaff	34521
Ref_Scaff	34359
Ref_Scaff	33320
Ref_Scaff	33316
Ref_Scaff	31460
Ref_Scaff	29583
Ref_Scaff	28305
Ref_Scaff	27456
Ref_Scaff	27447
Ref_Scaff	26115
Ref_Scaff	25840
Ref_Scaff	25805
Ref_Scaff	25698
Ref_Scaff	25560
Ref_Scaff	25537
Ref_Scaff	24503
Ref_Scaff	24380
Ref_Scaff	23238
Ref_Scaff	22882
Ref_Scaff	22604
Ref_Scaff	21921
Ref_Scaff	21074
Ref_Scaff	20763
Ref_Scaff	19956
Ref_Scaff	19524
Ref_Scaff	18299
Ref_Scaff	16157
Ref_Scaff	15522
Ref_Scaff	15417
Ref_Scaff	15068
Ref_Scaff	14983
Ref_Scaff	14687
Ref_Scaff	14503
Ref_Scaff	14199
Ref_Scaff	14098
Ref_Scaff	14028
Ref_Scaff	14006
Ref_Scaff	13940
Ref_Scaff	13935
Ref_Scaff	13906
Ref_Scaff	13553
Ref_Scaff	13549
Ref_Scaff	13501
Ref_Scaff	13455
Ref_Scaff	13455
Ref_Scaff	13416
Ref_Scaff	13394
Ref_Scaff	13317
Ref_Scaff	13256
Ref_Scaff	13234
Ref_Scaff	13157
Ref_Scaff	13108
Ref_Scaff	13079
Ref_Scaff	12856
Ref_Scaff	12848
Ref_Scaff	12827
Ref_Scaff	12714
Ref_Scaff	12681
Ref_Scaff	12654
Ref_Scaff	12632
Ref_Scaff	12632
Ref_Scaff	12536
Ref_Scaff	12513
Ref_Scaff	12459
Ref_Scaff	12424
Ref_Scaff	12424
Ref_Scaff	12399
Ref_Scaff	12368
Ref_Scaff	12354
Ref_Scaff	12187
Ref_Scaff	12148
Ref_Scaff	12142
Ref_Scaff	12095
Ref_Scaff	12034
Ref_Scaff	12027
Ref_Scaff	12002
Ref_Scaff	12001
Ref_Scaff	11985
Ref_Scaff	11983
Ref_Scaff	11958
Ref_Scaff	11951
Ref_Scaff	11807
Ref_Scaff	11763
Ref_Scaff	11743
Ref_Scaff	11569
Ref_Scaff	11522
Ref_Scaff	11498
Ref_Scaff	11430
Ref_Scaff	11220
Ref_Scaff	11148
Ref_Scaff	11126
Ref_Scaff	10091
Ref_Scaff	9865
Ref_Scaff	9368
Ref_Scaff	9341
Ref_Scaff	8346
Ref_Scaff	8007
Ref_Scaff	7722
Ref_Scaff	7314
Ref_Scaff	7123
Ref_Scaff	7003
Ref_Scaff	6936
Ref_Scaff	6900
Ref_Scaff	6860
Ref_Scaff	6860
Ref_Scaff	6825
Ref_Scaff	6698
Ref_Scaff	6546
Ref_Scaff	6396
Ref_Scaff	6294
Ref_Scaff	6237
Ref_Scaff	6193
Ref_Scaff	6076
Ref_Scaff	6062
Ref_Scaff	6041
Ref_Scaff	6000
Ref_Scaff	5984
Ref_Scaff	5968
Ref_Scaff	5952
Ref_Scaff	5915
Ref_Scaff	5891
Ref_Scaff	5832
Ref_Scaff	5772
Ref_Scaff	5698
Ref_Scaff	5564
