row,Assembly,Length
1,HiFiASM,25821138
2,HiFiASM,24627096
3,HiFiASM,23014838
4,HiFiASM,21715751
5,HiFiASM,18349355
6,HiFiASM,7593870
7,HiFiASM,2420129
8,HiFiASM,2179152
9,HiFiASM,2142100
10,HiFiASM,2017275
11,HiFiASM,1911336
12,HiFiASM,1812074
13,HiFiASM,1357808
14,HiFiASM,1297818
15,HiFiASM,1204153
16,HiFiASM,1192196
17,HiFiASM,1028380
18,HiFiASM,886052
19,HiFiASM,816551
20,HiFiASM,799643
21,HiFiASM,793974
22,HiFiASM,749300
23,HiFiASM,748487
24,HiFiASM,658670
25,HiFiASM,597064
26,HiFiASM,541660
27,HiFiASM,522054
28,HiFiASM,518745
29,HiFiASM,508692
30,HiFiASM,505115
31,HiFiASM,441753
32,HiFiASM,385577
33,HiFiASM,356006
34,HiFiASM,347906
35,HiFiASM,334027
36,HiFiASM,291050
37,HiFiASM,259429
38,HiFiASM,252970
39,HiFiASM,251516
40,HiFiASM,242986
41,HiFiASM,205730
42,HiFiASM,192582
43,HiFiASM,188261
44,HiFiASM,174237
45,HiFiASM,173535
46,HiFiASM,166948
47,HiFiASM,166598
48,HiFiASM,164293
49,HiFiASM,159250
50,HiFiASM,152688
51,HiFiASM,149226
52,HiFiASM,148839
53,HiFiASM,148324
54,HiFiASM,140664
55,HiFiASM,140386
56,HiFiASM,130705
57,HiFiASM,119807
58,HiFiASM,118897
59,HiFiASM,116942
60,HiFiASM,114051
61,HiFiASM,108408
62,HiFiASM,101449
63,HiFiASM,95926
64,HiFiASM,92253
65,HiFiASM,89278
66,HiFiASM,89204
67,HiFiASM,86734
68,HiFiASM,85545
69,HiFiASM,85004
70,HiFiASM,84209
71,HiFiASM,82718
72,HiFiASM,81496
73,HiFiASM,80748
74,HiFiASM,78557
75,HiFiASM,73339
76,HiFiASM,73199
77,HiFiASM,72549
78,HiFiASM,72240
79,HiFiASM,70963
80,HiFiASM,69837
81,HiFiASM,68868
82,HiFiASM,67858
83,HiFiASM,66145
84,HiFiASM,65797
85,HiFiASM,64658
86,HiFiASM,63981
87,HiFiASM,62085
88,HiFiASM,60482
89,HiFiASM,59759
90,HiFiASM,59545
91,HiFiASM,58474
92,HiFiASM,56770
93,HiFiASM,56599
94,HiFiASM,55486
95,HiFiASM,55011
96,HiFiASM,54604
97,HiFiASM,54355
98,HiFiASM,54273
99,HiFiASM,53152
100,HiFiASM,51298
101,HiFiASM,50233
102,HiFiASM,47527
103,HiFiASM,47358
104,HiFiASM,46559
105,HiFiASM,46516
106,HiFiASM,46370
107,HiFiASM,45899
108,HiFiASM,45072
109,HiFiASM,44964
110,HiFiASM,41089
111,HiFiASM,39082
112,HiFiASM,38931
113,HiFiASM,38777
114,HiFiASM,38477
115,HiFiASM,38403
116,HiFiASM,37441
117,HiFiASM,37357
118,HiFiASM,37335
119,HiFiASM,37106
120,HiFiASM,36957
121,HiFiASM,36757
122,HiFiASM,36719
123,HiFiASM,36705
124,HiFiASM,36137
125,HiFiASM,36095
126,HiFiASM,35782
127,HiFiASM,34463
128,HiFiASM,34190
129,HiFiASM,34055
130,HiFiASM,33344
131,HiFiASM,32962
132,HiFiASM,32659
133,HiFiASM,31794
134,HiFiASM,31399
135,HiFiASM,31258
136,HiFiASM,30485
137,HiFiASM,29401
138,HiFiASM,29256
139,HiFiASM,28878
140,HiFiASM,28664
141,HiFiASM,26733
142,HiFiASM,25676
143,HiFiASM,25628
144,HiFiASM,25496
145,HiFiASM,24909
146,HiFiASM,23340
147,HiFiASM,23334
148,HiFiASM,21701
149,Ref_Scaff,32079331
150,Ref_Scaff,28110227
151,Ref_Scaff,25286936
152,Ref_Scaff,23542271
153,Ref_Scaff,23513712
154,Ref_Scaff,3667352
155,Ref_Scaff,1348131
156,Ref_Scaff,88768
157,Ref_Scaff,87365
158,Ref_Scaff,86267
159,Ref_Scaff,76973
160,Ref_Scaff,76224
161,Ref_Scaff,73091
162,Ref_Scaff,66731
163,Ref_Scaff,66439
164,Ref_Scaff,62570
165,Ref_Scaff,57785
166,Ref_Scaff,50625
167,Ref_Scaff,47411
168,Ref_Scaff,46986
169,Ref_Scaff,45120
170,Ref_Scaff,44411
171,Ref_Scaff,44104
172,Ref_Scaff,43383
173,Ref_Scaff,39041
174,Ref_Scaff,37106
175,Ref_Scaff,36913
176,Ref_Scaff,36482
177,Ref_Scaff,34521
178,Ref_Scaff,34359
179,Ref_Scaff,33320
180,Ref_Scaff,33316
181,Ref_Scaff,31460
182,Ref_Scaff,29583
183,Ref_Scaff,28305
184,Ref_Scaff,27456
185,Ref_Scaff,27447
186,Ref_Scaff,26115
187,Ref_Scaff,25840
188,Ref_Scaff,25805
189,Ref_Scaff,25698
190,Ref_Scaff,25560
191,Ref_Scaff,25537
192,Ref_Scaff,24503
193,Ref_Scaff,24380
194,Ref_Scaff,23238
195,Ref_Scaff,22882
196,Ref_Scaff,22604
197,Ref_Scaff,21921
198,Ref_Scaff,21074
199,Ref_Scaff,20763
200,Ref_Scaff,19956
201,Ref_Scaff,19524
202,Ref_Scaff,18299
203,Ref_Scaff,16157
204,Ref_Scaff,15522
205,Ref_Scaff,15417
206,Ref_Scaff,15068
207,Ref_Scaff,14983
208,Ref_Scaff,14687
209,Ref_Scaff,14503
210,Ref_Scaff,14199
211,Ref_Scaff,14098
212,Ref_Scaff,14028
213,Ref_Scaff,14006
214,Ref_Scaff,13940
215,Ref_Scaff,13935
216,Ref_Scaff,13906
217,Ref_Scaff,13553
218,Ref_Scaff,13549
219,Ref_Scaff,13501
220,Ref_Scaff,13455
221,Ref_Scaff,13455
222,Ref_Scaff,13416
223,Ref_Scaff,13394
224,Ref_Scaff,13317
225,Ref_Scaff,13256
226,Ref_Scaff,13234
227,Ref_Scaff,13157
228,Ref_Scaff,13108
229,Ref_Scaff,13079
230,Ref_Scaff,12856
231,Ref_Scaff,12848
232,Ref_Scaff,12827
233,Ref_Scaff,12714
234,Ref_Scaff,12681
235,Ref_Scaff,12654
236,Ref_Scaff,12632
237,Ref_Scaff,12632
238,Ref_Scaff,12536
239,Ref_Scaff,12513
240,Ref_Scaff,12459
241,Ref_Scaff,12424
242,Ref_Scaff,12424
243,Ref_Scaff,12399
244,Ref_Scaff,12368
245,Ref_Scaff,12354
246,Ref_Scaff,12187
247,Ref_Scaff,12148
248,Ref_Scaff,12142
249,Ref_Scaff,12095
250,Ref_Scaff,12034
251,Ref_Scaff,12027
252,Ref_Scaff,12002
253,Ref_Scaff,12001
254,Ref_Scaff,11985
255,Ref_Scaff,11983
256,Ref_Scaff,11958
257,Ref_Scaff,11951
258,Ref_Scaff,11807
259,Ref_Scaff,11763
